match_id,player_id,team_id,opponent_team_id,position_bucket,official_start_ts,is_home,minutes,stat_pts
0022300087,203084,1610612758,1610612744,NBA,2023-10-27,1.0,30.016666666666666,10.0
0022300088,1629632,1610612741,1610612765,NBA,2023-10-28,0.0,27.916666666666668,0.0
0022300088,1631093,1610612765,1610612741,NBA,2023-10-28,1.0,21.976666666666667,7.0
0022300088,201942,1610612741,1610612765,NBA,2023-10-28,0.0,31.816666666666666,20.0
0022300088,203083,1610612741,1610612765,NBA,2023-10-28,0.0,14.466666666666667,2.0
0022300089,1629673,1610612764,1610612763,NBA,2023-10-28,1.0,35.75,27.0
0022300089,1630557,1610612764,1610612763,NBA,2023-10-28,1.0,31.71,22.0
0022300090,1628404,1610612752,1610612740,NBA,2023-10-28,0.0,21.45,3.0
0022300090,1628973,1610612752,1610612740,NBA,2023-10-28,0.0,30.583333333333332,14.0
0022300090,1628978,1610612752,1610612740,NBA,2023-10-28,0.0,19.666666666666668,5.0
0022300090,202685,1610612740,1610612752,NBA,2023-10-28,1.0,20.983333333333334,8.0
0022300091,1626167,1610612754,1610612739,NBA,2023-10-28,0.0,29.416666666666668,20.0
0022300091,1627741,1610612754,1610612739,NBA,2023-10-28,0.0,18.8,10.0
0022300091,1627777,1610612739,1610612754,NBA,2023-10-28,1.0,18.766666666666666,7.0
0022300091,1630167,1610612754,1610612739,NBA,2023-10-28,0.0,18.0,4.0
0022300092,1627783,1610612761,1610612755,NBA,2023-10-28,1.0,36.3,11.0
0022300092,1630194,1610612755,1610612761,NBA,2023-10-28,0.0,12.65,4.0
0022300092,203471,1610612761,1610612755,NBA,2023-10-28,1.0,35.28333333333333,15.0
0022300093,1629638,1610612750,1610612748,NBA,2023-10-28,1.0,22.783333333333335,5.0
0022300093,1629675,1610612750,1610612748,NBA,2023-10-28,1.0,28.433333333333334,25.0
0022300093,1630162,1610612750,1610612748,NBA,2023-10-28,1.0,33.36666666666667,19.0
0022300093,203937,1610612750,1610612748,NBA,2023-10-28,1.0,22.95,12.0
0022300094,1629012,1610612762,1610612756,NBA,2023-10-28,0.0,23.05,14.0
0022300094,1630534,1610612762,1610612756,NBA,2023-10-28,0.0,6.366666666666666,0.0
0022300094,203482,1610612762,1610612756,NBA,2023-10-28,0.0,15.616666666666667,9.0
0022300095,1629008,1610612743,1610612760,NBA,2023-10-29,0.0,24.65,20.0
0022300095,1629652,1610612760,1610612743,NBA,2023-10-29,1.0,20.716666666666665,10.0
0022300095,1630198,1610612760,1610612743,NBA,2023-10-29,1.0,16.7,5.0
0022300095,1630581,1610612760,1610612743,NBA,2023-10-29,1.0,21.916666666666668,9.0
0022300095,1630598,1610612760,1610612743,NBA,2023-10-29,1.0,10.133333333333333,5.0
0022300095,1631096,1610612760,1610612743,NBA,2023-10-29,1.0,25.566666666666666,19.0
0022300095,1631128,1610612743,1610612760,NBA,2023-10-29,0.0,21.166666666666668,13.0
0022300095,1631212,1610612743,1610612760,NBA,2023-10-29,0.0,21.6,17.0
0022300095,1641717,1610612760,1610612743,NBA,2023-10-29,1.0,21.933333333333334,7.0
0022300095,202704,1610612743,1610612760,NBA,2023-10-29,0.0,22.0,5.0
0022300095,203999,1610612743,1610612760,NBA,2023-10-29,0.0,29.866666666666667,28.0
0022300096,1630224,1610612745,1610612744,NBA,2023-10-29,1.0,38.071666666666665,21.0
0022300096,201145,1610612745,1610612744,NBA,2023-10-29,1.0,21.005,6.0
0022300096,202691,1610612744,1610612745,NBA,2023-10-29,0.0,29.25,19.0
0022300097,1626166,1610612749,1610612737,NBA,2023-10-29,1.0,14.4,6.0
0022300097,1626171,1610612749,1610612737,NBA,2023-10-29,1.0,21.016666666666666,12.0
0022300097,1627736,1610612749,1610612737,NBA,2023-10-29,1.0,31.633333333333333,18.0
0022300097,1627749,1610612737,1610612749,NBA,2023-10-29,0.0,29.733333333333334,15.0
0022300097,201572,1610612749,1610612737,NBA,2023-10-29,1.0,20.416666666666668,13.0
0022300097,203992,1610612737,1610612749,NBA,2023-10-29,0.0,26.316666666666666,17.0
0022300098,1630194,1610612755,1610612757,NBA,2023-10-29,1.0,17.05,2.0
0022300099,1630200,1610612759,1610612746,NBA,2023-10-29,0.0,20.033333333333335,5.0
0022300100,1627734,1610612758,1610612747,NBA,2023-10-29,1.0,34.0,12.0
0022300100,1627752,1610612747,1610612758,NBA,2023-10-29,0.0,41.38333333333333,20.0
0022300100,1630559,1610612747,1610612758,NBA,2023-10-29,0.0,27.548333333333332,5.0
