player_id,match_id,line_value
1627741,0022301129,9.5
1627741,0022301140,7.5
1627741,0022301145,7.5
1627741,0022301171,8.5
1627741,0022301192,8.5
1627749,0022300079,11.5
1627749,0022300097,14.5
1627749,0022300104,14.5
1627749,0022300117,21.5
1627749,0022300135,21.5
1627749,0022300155,23.5
1627749,0022300172,25.5
1627749,0022300175,26.5
1627749,0022300018,22.5
1627749,0022300193,24.5
1627749,0022300029,22.5
1627749,0022300039,19.5
1627749,0022300227,21.5
1627749,0022300241,21.5
1627749,0022300246,17.5
1627749,0022300055,15.5
1627749,0022300272,15.5
1627749,0022300286,14.5
1627749,0022301209,16.5
1627749,0022301218,17.5
1627749,0022300296,20.5
1627749,0022300313,21.5
1627749,0022300330,20.5
1627749,0022300336,18.5
1627749,0022300352,19.5
1627749,0022300371,19.5
1627749,0022300384,19.5
1627749,0022300393,20.5
1627749,0022300408,22.5
1627749,0022300431,21.5
1627749,0022300445,21.5
1627749,0022300467,23.5
1627749,0022300480,23.5
1627749,0022300499,23.5
1627749,0022300521,25.5
1627749,0022300533,26.5
1627749,0022300543,26.5
1627749,0022300559,24.5
1627749,0022300570,20.5
1627749,0022300587,21.5
1627749,0022300595,20.5
1627749,0022300613,19.5
1627749,0022300626,24.5
1627749,0022300634,26.5
1627749,0022300669,25.5
1627749,0022300690,25.5
1627749,0022300699,25.5
1627749,0022300716,22.5
1627749,0022300754,21.5
1627749,0022300763,24.5
1627749,0022300777,22.5
1627749,0022300804,20.5
1627749,0022300821,21.5
1627749,0022300835,22.5
1627749,0022300851,19.5
1627749,0022300866,21.5
1627749,0022300889,22.5
1627749,0022300895,22.5
1627749,0022300913,20.5
1627749,0022300925,25.5
1627749,0022300953,24.5
1627749,0022300966,28.5
1627749,0022300982,31.5
1627749,0022300990,31.5
1627749,0022301010,26.5
1627749,0022301021,27.5
1627749,0022301034,24.5
1627749,0022301051,22.5
1627749,0022301060,23.5
1627749,0022301076,30.5
1627749,0022301091,28.5
1627749,0022301104,26.5
1627749,0022301124,27.5
1627749,0022301130,24.5
1627749,0022301147,18.5
1627749,0022301178,20.5
1627749,0022301188,19.5
1627752,0022300076,18.5
1627752,0022300100,9.5
1627752,0022300111,12.5
1627752,0022300150,10.5
1627752,0022300163,10.5
1627752,0022300015,8.5
1627752,0022300187,9.5
1627752,0022300026,7.5
1627752,0022300198,8.5
1627752,0022300036,8.5
1627752,0022300216,8.5
1627752,0022300042,7.5
1627752,0022300238,6.5
1627752,0022300242,7.5
1627752,0022300255,7.5
1627752,0022300258,7.5
1627752,0022300271,9.5
1627752,0022300291,9.5
1627752,0022301203,8.5
1627752,0022301230,8.5
1627752,0022300306,9.5
1627752,0022300316,10.5
1627752,0022300331,12.5
1627752,0022300359,12.5
1627752,0022300370,13.5
1627752,0022300380,13.5
1627752,0022300397,13.5
1627752,0022300403,12.5
1627752,0022300428,13.5
1627752,0022300443,12.5
1627752,0022300446,10.5
1627752,0022300475,10.5
1627752,0022300491,8.5
1627752,0022300505,7.5
1627752,0022300516,9.5
1627752,0022300531,9.5
1627752,0022300549,9.5
1627752,0022300565,11.5
1627752,0022300577,10.5
1627752,0022300591,9.5
1627752,0022300618,9.5
1627752,0022300633,9.5
